0.992 0.961 0.902
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.882 0.988 0.969
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.749 0.949 0.925
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.627 0.91 0.894
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.514 0.871 0.871
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.408 0.804 0.831
0.31 0.733 0.788
0.31 0.733 0.788
0.31 0.733 0.788
0.31 0.733 0.788
0.31 0.733 0.788
0.31 0.733 0.788
0.31 0.733 0.788
0.31 0.733 0.788
